file_path	size_in_bytes	type	label	source_image_label	associated_specimen	associated_annotation_method	associated_protocol
data/Control/frames/CountRef_TS_00001_0.0.mrc	94280704						
data/Control/frames/TS_006_00001_-0.0.tif	63783782	http://bia/Image	Control condition frames 06_00001_-0.0		_:Control 06		_:Glucose control condition
data/Control/frames/TS_006_00002_2.0.tif	63563690	http://bia/Image	Control condition frames 06_00002_2.0		_:Control 06		_:Glucose control condition
data/Control/frames/TS_006_00003_-2.0.tif	63982128	http://bia/Image	Control condition frames 06_00003_-2.0		_:Control 06		_:Glucose control condition
data/Control/frames/TS_006_00004_4.0.tif	63313444	http://bia/Image	Control condition frames 06_00004_4.0		_:Control 06		_:Glucose control condition
data/Control/frames/TS_006_00005_-4.0.tif	64177296	http://bia/Image	Control condition frames 06_00005_-4.0		_:Control 06		_:Glucose control condition
data/Control/frames/TS_006_00006_6.0.tif	63066048	http://bia/Image	Control condition frames 06_00006_6.0		_:Control 06		_:Glucose control condition
data/Control/frames/TS_006_00007_-6.0.tif	64346774	http://bia/Image	Control condition frames 06_00007_-6.0		_:Control 06		_:Glucose control condition
data/Control/frames/TS_006_00008_8.0.tif	62723536	http://bia/Image	Control condition frames 06_00008_8.0		_:Control 06		_:Glucose control condition
data/Control/frames/TS_006_00009_-8.0.tif	64468416	http://bia/Image	Control condition frames 06_00009_-8.0		_:Control 06		_:Glucose control condition
data/Control/frames/TS_006_00010_10.0.tif	62334686	http://bia/Image	Control condition frames 06_00010_10.0		_:Control 06		_:Glucose control condition
data/Control/frames/TS_006_00011_-10.0.tif	64552718	http://bia/Image	Control condition frames 06_00011_-10.0		_:Control 06		_:Glucose control condition
data/Control/frames/TS_006_00012_12.0.tif	61932002	http://bia/Image	Control condition frames 06_00012_12.0		_:Control 06		_:Glucose control condition
data/Control/frames/TS_006_00013_-12.0.tif	64568818	http://bia/Image	Control condition frames 06_00013_-12.0		_:Control 06		_:Glucose control condition
data/Control/frames/TS_006_00014_14.0.tif	61472884	http://bia/Image	Control condition frames 06_00014_14.0		_:Control 06		_:Glucose control condition
data/Control/frames/TS_006_00015_-14.0.tif	64588164	http://bia/Image	Control condition frames 06_00015_-14.0		_:Control 06		_:Glucose control condition
data/Control/frames/TS_006_00016_16.0.tif	60867160	http://bia/Image	Control condition frames 06_00016_16.0		_:Control 06		_:Glucose control condition
data/Control/frames/TS_006_00017_-16.0.tif	64543844	http://bia/Image	Control condition frames 06_00017_-16.0		_:Control 06		_:Glucose control condition
data/Control/frames/TS_006_00018_18.0.tif	60406602	http://bia/Image	Control condition frames 06_00018_18.0		_:Control 06		_:Glucose control condition
